id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
a9f44772-556d-4856-8986-a8820505ea6d,Abdul Daim Zainuddin,Abdul Daim Zainuddin,,,,United Malays National Organisation,UMNO,P014-10,"Merbok, Kedah",Dewan Rakyat,10,,,,male
70c6316f-1d47-4b0d-a59c-3618c2a74cf2,Abdul Fatah Harun,Abdul Fatah Harun,,,,Pan-Malaysian Islamic Party,PAS,P023-10,"Rantau Panjang, Kelantan",Dewan Rakyat,10,,,,
5da8a326-e811-461c-9930-86ac97e1da7f,Abdul Ghafar Baba,Abdul Ghafar Baba,,,,United Malays National Organisation,UMNO,P122-10,"Batu Berendam, Malacca",Dewan Rakyat,10,,,https://upload.wikimedia.org/wikipedia/commons/9/91/Ghafar_Baba.jpg,male
a50b00f8-8701-44d0-9b0a-df84bb818efb,Abdul Hadi Awang,Abdul Hadi Awang,,,,Pan-Malaysian Islamic Party,PAS,P037-10,"Marang, Terengganu",Dewan Rakyat,10,,,https://upload.wikimedia.org/wikipedia/commons/0/00/Tuan_Guru_Dato'_Seri_Haji_Abdul_Hadi_Awang.jpg,male
a068d50a-df72-4702-99f5-da24e4ea4c66,Abdul Hamid Abdul Rahman,Abdul Hamid Abdul Rahman,,,,United Malays National Organisation,UMNO,P137-10,"Sungai Benut, Johor",Dewan Rakyat,10,,,,
