id,name,family_name,given_name,gender,party,faction,faction_id,area_id,area,statut,image,term,source
michel_abimbola,Jean-Michel ABIMBOLA,ABIMBOLA,Jean-Michel,male,"","","","","","",http://www.assemblee-nationale.bj/images/comprofiler/867_55e8501d4a0d3.jpg,7,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/michel_abimbola
jeremie_adomahou,Jérémie ADOMAHOU,ADOMAHOU,Jérémie,male,"",Union Paix et Démocratie,union_paix_et_démocratie,12,COUFFO,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/870_55e873dfe03b0.jpg,7,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/jeremie_adomahou
tidjani_affoobo,Ahmed Tidjani AFFO OBO,AFFO OBO,Ahmed Tidjani,male,Alliance ABT,Nation Unité et Développpement,nation_unité_et_développpement,14,DONGA,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/871_55e87753d5bf8.jpg,7,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/tidjani_affoobo
alexis_agbelessessi,C. Alexis AGBELESSESSI,AGBELESSESSI,C. Alexis,male,"",Union Paix et Démocratie,union_paix_et_démocratie,17,MONO,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/855_55e5ffce18207.jpg,7,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/alexis_agbelessessi
justin_agbodjete,Hounsa Justin AGBOJETE,AGBOJETE,Hounsa Justin,male,Alliance AND,Union Paix et Démocratie,union_paix_et_démocratie,20,OUEME,Titulaire,http://www.assemblee-nationale.bj/components/com_comprofiler/plugin/templates/bootstrap/images/avatar/nophoto_n.png,7,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/justin_agbodjete
edmond_agoua,Edmond AGOUA,AGOUA,Edmond,,Alliance Eclaireur,République Paix et Progrès,république_paix_et_progrès,10,COLLINE,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/873_55e9832115732.jpg,7,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/edmond_agoua
