id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
a111ad90-669e-4e8e-b2eb-1213910c0e15,Nichole Leigh Mosty,Nichole Leigh Mosty,,,,Bright Future,bright_future,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2016,,,,
a0d85f28-8c6c-482f-ae01-e92cbc4ec7ad,Njáll Trausti Friðberts­son,Njáll Trausti Friðberts­son,,,,Independence Party,independence_party,area/northeast_constituency,Northeast Constituency,Alþingi,2016,,,,
fccb522b-cbba-4d00-a371-479d209fd444,Oddný G. Harðardóttir,Oddný G. Harðardóttir,,,,Social Democratic Alliance,social_democratic_alliance,area/south_constituency,South Constituency,Alþingi,2016,,,,female
e6daf1e2-e28d-4797-ac27-175e0b55fa48,Pawel Bartoszek,Pawel Bartoszek,,,,Reform Party,reform_party,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2016,,,,
e593879f-63d0-4c60-b669-dc161906e1e5,Páll Magnús­son,Páll Magnús­son,,,,Independence Party,independence_party,area/south_constituency,South Constituency,Alþingi,2016,,,,
eb5c63d3-7d12-4f96-b3cb-b61c0970158f,Rósa Björk Brynjólfs­dóttir,Rósa Björk Brynjólfs­dóttir,,,,Left-Green Movement,left-green_movement,area/southwest_constituency,Southwest Constituency,Alþingi,2016,,,,
46a9453b-1b9c-4d6e-bd7d-80427c0fdf2e,Sigmundur David Gunnlaugsson,Sigmundur David Gunnlaugsson,,,,Progressive Party,progressive_party,area/northeast_constituency,Northeast Constituency,Alþingi,2016,,,,
35f58b57-145b-40d1-8307-db8911553b94,Sigríður Andersen,Sigríður Andersen,,,,Independence Party,independence_party,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2016,,,,
98571548-1b91-42f2-ae98-8cbef0a5e315,Sigurður Ingi Jóhannsson,Sigurður Ingi Jóhannsson,,,,Progressive Party,progressive_party,area/south_constituency,South Constituency,Alþingi,2016,,,,
f3f38be1-d0b9-47cd-9051-d9eda5a4e8c0,Silja Dögg Gunnars­dóttir,Silja Dögg Gunnars­dóttir,,,,Progressive Party,progressive_party,area/south_constituency,South Constituency,Alþingi,2016,,,,
2ede6ee8-cc2a-4a22-abd1-250c203d2ffb,Smári McCarthy,Smári McCarthy,,,,Pirate Party,pirate_party,area/south_constituency,South Constituency,Alþingi,2016,,,,
aa0a5cc8-1d79-4fda-a6eb-b2587374f0e0,Steingrímur J. Sigfússon,Steingrímur J. Sigfússon,,,,Left-Green Movement,left-green_movement,area/northeast_constituency,Northeast Constituency,Alþingi,2016,,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Steingrímur_J._Sigfússon_norden-1.jpg,male
2046f38a-2c79-4d16-8ba5-8c8225ef25c0,Steinunn Thora Árnadóttir,Steinunn Thora Árnadóttir,,,,Left-Green Movement,left-green_movement,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2016,,,,
a6a91b4b-def7-4b1c-8dd7-62bca038cb9e,Svandís Svavarsdóttir,Svandís Svavarsdóttir,,,,Left-Green Movement,left-green_movement,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2016,,,https://upload.wikimedia.org/wikipedia/commons/3/34/Islands_miljominister_Svandis_Svavarsdottir_vid_Nordiska_Radets_session_pa_Island_2010-11-04.jpg,female
c9c2a71b-a342-4bb9-90b5-b14587980a09,Teitur Björn Einarsson,Teitur Björn Einarsson,,,,Independence Party,independence_party,area/northwest_constituency,Northwest Constituency,Alþingi,2016,,,,
aaaaf20f-09d6-4817-b414-691a62f07e54,Theodóra S. Þorsteins­dóttir,Theodóra S. Þorsteins­dóttir,,,,Bright Future,bright_future,area/southwest_constituency,Southwest Constituency,Alþingi,2016,,,,
f2112291-81fb-4ea9-bfc8-29153cd2f84b,Thorsteinn Víglundsson,Thorsteinn Víglundsson,,,,Reform Party,reform_party,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2016,,,,
f0ab323e-91b5-4d7c-9d7d-eef59871a11d,Unnur Brá Kon­ráðs­dóttir,Unnur Brá Kon­ráðs­dóttir,,,,Independence Party,independence_party,area/south_constituency,South Constituency,Alþingi,2016,,,,
008ea8e7-b1d6-47d5-8fcb-25ff721c5c5a,Valgerður Gunnarsdóttir,Valgerður Gunnarsdóttir,,,,Independence Party,independence_party,area/northeast_constituency,Northeast Constituency,Alþingi,2016,,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Valgerdur_Gunnarsdottir.jpg,female
128c0af7-f1fd-4315-988b-d88497721bb5,Vilhjálmur Bjarna­son,Vilhjálmur Bjarna­son,,,,Independence Party,independence_party,area/southwest_constituency,Southwest Constituency,Alþingi,2016,,,,
68a55d87-78e2-4471-84ba-70f041939cfe,Vilhjálmur Árna­son,Vilhjálmur Árna­son,,,,Independence Party,independence_party,area/south_constituency,South Constituency,Alþingi,2016,,,,
d49dca58-2f96-4b80-80ad-9f9203432da8,Ásmundur Friðriksson,Ásmundur Friðriksson,,,,Independence Party,independence_party,area/south_constituency,South Constituency,Alþingi,2016,,,,male
2bb19f43-88a6-4159-898b-b0c30f1491ce,Ásta Guðrún Helgadóttir,Ásta Guðrún Helgadóttir,,asta_fish,asta.helgadottir,Pirate Party,pirate_party,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2016,,,https://upload.wikimedia.org/wikipedia/commons/6/61/Asta_Helgadottir_2015.jpg,female
d98e1937-a907-4cac-86e7-e048fc0a618a,Óli Björn Kára­son,Óli Björn Kára­son,,,,Independence Party,independence_party,area/southwest_constituency,Southwest Constituency,Alþingi,2016,,,,
fd5e460d-23dc-48ed-afa8-8fd0c3572e01,Ólöf Nordal,Ólöf Nordal,,,,Independence Party,independence_party,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2016,,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Ólöf_Nordal.jpg,female
3f5debb0-9397-446f-805f-307ed62a5d6d,Óttarr Proppé,Óttarr Proppé,,,,Bright Future,bright_future,area/southwest_constituency,Southwest Constituency,Alþingi,2016,,,"https://upload.wikimedia.org/wikipedia/commons/e/e3/Óttarr_Proppé,_ESC2014_Meet_&_Greet_(crop).jpg",male
7253b018-3b63-4230-a8f7-d4c8d52f4cd5,Þorgerður K. Gunnarsdóttir,Þorgerður K. Gunnarsdóttir,,,,Reform Party,reform_party,area/southwest_constituency,Southwest Constituency,Alþingi,2016,,,,
55bd4d49-ee9c-4fdc-97d2-0b18db905f5e,Þórdís Kolbrún Gylfa­dóttir,Þórdís Kolbrún Gylfa­dóttir,,,,Independence Party,independence_party,area/northwest_constituency,Northwest Constituency,Alþingi,2016,,,,
2e2660e0-78bc-49eb-9594-b976c565a307,Þórhildur Sunna Ævarsdóttir,Þórhildur Sunna Ævarsdóttir,,,,Pirate Party,pirate_party,area/southwest_constituency,Southwest Constituency,Alþingi,2016,,,,
727e4976-d036-4ccc-9a8e-c899cdcfa7c3,Þórunn Egilsdóttir,Þórunn Egilsdóttir,,,,Progressive Party,progressive_party,area/northeast_constituency,Northeast Constituency,Alþingi,2016,,,,female
