id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
555931b5-c68e-4208-a596-4a4cf638f5b7,Nourénou ATCHADE,Nourénou ATCHADE,,,,République et Solidarité Nationale,république_et_solidarité_nationale,14,DONGA,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/881_55eed94d948d8.jpg,male
6c78c59a-ea21-4530-a201-66d55b2010e7,O. I. René BAGOUGOU,O. I. René BAGOUGOU,,,,Union Paix et Démocratie,union_paix_et_démocratie,2,ALIBORI,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/883_55f1d5d1e3dff.jpg,male
abff26ae-12e3-49df-96f7-e3ccbd530399,Octave Cossi HOUDEGBE,Octave Cossi HOUDEGBE,,,,République Paix et Progrès,république_paix_et_progrès,5,ATLANTIQUE,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/858_55e76ae05f3ef.jpg,male
8254c727-8905-4b9a-a363-8deacf4bad02,Rachidi GBADAMASSI,Rachidi GBADAMASSI,,,,unknown,_unknown,,,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/863_55e8450a29da7.jpg,male
1b659a14-b5a0-471d-bdc4-3700231e4b21,Raphaël AKOTEGNON,Raphaël AKOTEGNON,,,,unknown,_unknown,15,LITTORAL,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/866_55e84b008f710.jpg,male
da57b6fd-4414-4bb9-99f7-d1d080120f95,Robert GBIAN,Robert GBIAN,,,,Union Paix et Démocratie,union_paix_et_démocratie,7,BORGOU,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/853_55e5fb99b0582.jpg,male
4809d024-d782-4bcd-b38b-0908210bf1a6,S. Augustin AHOUANVOEBLA,S. Augustin AHOUANVOEBLA,,,,unknown,_unknown,20,OUEME,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/862_55e7717c4f44d.jpg,male
982ea28f-30be-4c8e-b5f8-63581d1a246e,Sofiatou SCHANOU,Sofiatou SCHANOU,,,,République et Solidarité Nationale,république_et_solidarité_nationale,19,OUEME,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/869_55e8725e514c6.jpg,
92e6c229-61ec-4fb3-b7cb-25d087d5835e,Tossou Marcellin AHONOUKOU,Tossou Marcellin AHONOUKOU,,,,République Paix et Progrès,république_paix_et_progrès,5,ATLANTIQUE,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/875_55e9b693e5c1d.jpg,male
486b1076-b07f-4b85-889d-2da703131286,Z. Adam BAGOUDOU,Z. Adam BAGOUDOU,,,,République Paix et Progrès,république_paix_et_progrès,8,BORGOU,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/884_55f1da2c33be0.jpg,male
